Ghelo_harsh,@SwiggyCares i paid from paytm and not any credit received from your site.
abhijeet785v,@Paytm would you kindly tell me why are you charging a hefty convinence fee of ₹50 when I am already paying reserva… https://t.co/4bxkxjQOun
RohanSikri,@QuickRidein And what about Rs350 which i paid as non refundable to paytm? Can quickride give me a fastag free?
DeepakKumar4812,"#Dabangg3 promises full Paisa Vasool Entertainment!

Book Tickets Now On:
BMS - https://t.co/hYPz53ZAeb
Paytm - … https://t.co/NYOIaa5k7m"
abanwill,"@menakadoshi Yes, Superwierd @menakadoshi 
 
Just by the way, you must have got an #Uber credit when they reversed… https://t.co/AYZuz6bBbP"
Shubham11357410,@Acer Your local support team has the case from 21st Dec. and they daily tell me that they'll be sending out an eng… https://t.co/bn82RhXKnK
amitbha22878081,"Dear paytm team- my concern still not resolved, i am trying to connect with your team but seems not responding."
Ibbu0808,@BCCI @Paytm Well played guys!!!
SKFilmsOfficial,"#Dabangg3 promises full Paisa Vasool Entertainment!

Book Tickets Now On:
BMS - https://t.co/y2vijQWyYo
Paytm - … https://t.co/J6rO8RomHT"
rmkagwad,"@paytmbankcare @Paytm @vijayshekhar @FastTag_NPCI @RBI @PMOIndia @ndtv @RepublicTvArnab 
is it RBI regulation? if n… https://t.co/hOxdMYQFCN"
srinidelite,@Paytmcare hey i wanted to remove all the payment methods that are stored in Paytm ..can you help me out.  I've tri… https://t.co/peSyFMf4m9
Mandeepds36,@patelpk14 @John52177335 @paytmbankcare @Paytmcare @Paytm @FASTag_NETC worst service
Mandeepds36,@rahulattri30 @vijayshekhar @renusatti @Paytm @PaytmBank Same problem
iSachinVarshney,@paytmbankcare @Paytmcare @Paytm @paytmbankcare @Paytmcare Please check and reply ASAP.
rahulattri30,"@vijayshekhar @renusatti @Paytm @PaytmBank
Fastag delivered but Fastag wallet not created by Paytm team and My fast… https://t.co/9oWZcNq3Un"
ApurbalalBiswa5,@BCCI @Paytm My question mr president please change bcci selecter msk proshad and har total team
patelpk14,@John52177335 @paytmbankcare @Paytmcare @Paytm @FASTag_NETC Paytm fastag is doing wrong business by delivering inac… https://t.co/X9ofmLXguf
paytmbankcare,@neerajsingh007 Hi Neeraj! Thank you for contacting Paytm Fastag Support Team. Your concern to update new mobile nu… https://t.co/0I0V5hn1q5
OutlookBusiness,"Did you know @Paytm’s @vijayshekhar has invested in 25 #startups including @GOQii, @unacademy, @Inner_Chef and othe… https://t.co/fbEqJWHTwe"
upandup525,GTA 5 RP | Other games later | !Nimo | !Laptop | !Paytm on screen https://t.co/4bBjjX4Ul9
paytmbankcare,"@deepesh_roy You can use your wallet balance on Paytm Mall, for recharges or at Paytm affiliated merchants. Please… https://t.co/vGEFL4eEoy"
paytmbankcare,"@deepesh_roy Hi Deepesh! As discussed over the call, to update your new number, we will need to close your Paytm ac… https://t.co/zq3YBAwiCc"
Shail_2302_,"@paytmbankcare Its been almost 3 days and I haven’t received any updates from you guys, forget about the resolution… https://t.co/d6i0c0qw50"
Manoj60137462,@BCCI @Paytm Congratulation to all team mates and Indian cricket association for this precious victory. I hope you… https://t.co/cRFFiNNvzU
magicalme009,n/n #nitingadkari  Neither NHAI nor Paytm (Fastag linked) is bothered to refund the double toll collected forcibly… https://t.co/F2hjIAipia
vastavikbharat,"@Paytm is this tge same message what your team sends to every customer, who has completed KYC information. My accou… https://t.co/G0A3IeAM4m"
magicalme009,1/n #Paytm #FASTag Double toll is being collected on various tolls as many a times toll people say that toll didnt… https://t.co/6f59YBLHIZ
RohanSikri,@QuickRidein You could've introduced it earlier when it was mandatory from 1st Dec. Already bought for Rs500 from paytm.
paytmbankcare,"@sudhanshu1504 Hi,
Paytm has no relation whatsoever with such sms/s. We suggest you to not to respond to it. It may… https://t.co/ESMlEDPEcd"
Meet41732076,"@Paytmcare  Really one of the worst customer care services , tumhara kisi executive ke vicharr hi nhi milte , my pr… https://t.co/H8kx78kfJ5"
chandanonline4u,"@HDFCBank_Cares I have requested two things:
i. Rollback the transaction amount to my account
ii. Require Paytm num… https://t.co/60Ppr8zDpo"
AjayGobbur,@paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh I suggest #paytm to change the trainer who trains the execut… https://t.co/1YTmn6lJUV
VIKKHANDELWAL,"@Dhanrajudaipur Dude received tag, it worked for few days and thn it got blacklisted. Though it is blacklisted stil… https://t.co/GGmWvahTG5"
kishanpb,"@anooppatrick @ICICIBank @Paytm Paytm is the best option for Fastag. No worries, smooth process. I initially decide… https://t.co/7jZHckgq7M"
PaytmTravelCare,"@Sum1_Sumwhr Hi, We are happy to let you know that paytm has initiated a refund against your booking id 9930087948… https://t.co/gtxvpPXXN6"
AjayGobbur,"@paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh Now #paytm holding Rs.5,000/- and here also the same 1 sente… https://t.co/8KaPubYouZ"
RamSwain2458,"@BCCI @Paytm Congratulations  
My India"
mvsaikrishna666,"800 Paytm Cashback received 🤩🤩
Thank you @Techglares 
#Timesprime https://t.co/qvtlKjLP6J"
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh Now there is another issue from #paytm that y… https://t.co/6VSguCZl4L
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh you have just replied that the product is non… https://t.co/7nvsOKFQAt
paytmbankcare,"@imvarun_saigal Hi, we are experiencing brief delays with some shipments. We are working hard to get your Fastag de… https://t.co/aPOskJmhIy"
kishanpb,@anooppatrick @ICICIBank @Paytm Thanks @anooppatrick 🙌.  I got in a week from Paytm. I made the mistake of paying o… https://t.co/HHcqa4xZ2I
iamazaz,This was detail he was to transfer the money @Paytm @Paytmcare https://t.co/q4ohwt32q5
paytmbankcare,@ParthMi20318940 Hi Parth! Please be informed that you can place the order for FASTag by visiting the link:… https://t.co/i3oMhFNUfO
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh Your reply was the same from past 20 tweets copy &amp; paste.
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh There was no concern about the issue. There w… https://t.co/xwWyVxmlzV
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh You have replied the same Mr.Parrot.
AjayGobbur,@paytmmallcare @paytm @PaytmMall @Paytmcare @vijayshekhar @skjsaurabh There is no proper response from your end.
pavanpuli1234,"Got 800 paytm  cashback for Times prime subscription bro @Deal_Trendz ! 

Thank you ❤💯 https://t.co/2rQQWXYND1"
JAYAKRI21871010,"@BCCI @Paytm Star of the match PANT a brilliant WK, Batsmen, Catch specialist"
Paytmcare,"@himanshuarora01 Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/FePJwPzQyI"
SivaKum78674805,@BCCI @Paytm Jadeja was good supported to king kohli to win serious against west indies...@ keep-##jadeja#...
SaveUcs,₹30 Free New Cashback Offer Paytm Free Mobile Recharge Promo Code Today https://t.co/XVErn10U5H https://t.co/afxvneXYd4
Sandeep53546632,@Paytm so that I can have it from somewhere else
pavanpuli1234,"Got 800 paytm  cashback for Times prime subscription bro @Techglares !

Thank you ❤💯 https://t.co/towocVv9zD"
Sandeep53546632,@Paytm I have called customer care for 50 times every time answer is high volume of calls and cannot attend your ca… https://t.co/dwJciCzscp
er_nitishmittal,"@Techglares Bro received paytm 800 today , payzapp 400 still pending https://t.co/H8dzKmm2EF"
Sandeep53546632,@Paytm which they attend after 10 days they asked me to upload copy of my RC..My Fastag was delivered on 20 the Dec… https://t.co/FtFEMxXHGg
Dream11Guruji,"#dream11expert #dream11 #DREAM11GAMECHANGER #DREAM11PREDICTION #DREAM11TIPS 

Our paytm cash winner of 200 rs ....j… https://t.co/pejr5yW6u6"
Sandeep53546632,@Paytm I am facing problem with your app...I have ordered Fastag on  1st December  At that time nobody demanded for… https://t.co/3DceHFYojz
paytmbankcare,"@nitish_virmani Hi Nitish! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief… https://t.co/krIJQaoP5g"
iamazaz,"@CybercrimeCID Hi I’m getting call from 9433739032 saying on behalf of paytm,I know it is fishing call.
They want to steal from money."
unujwal,"On similar lines, buying on @PaytmMoney does not mean buying from Paytm. Have faith in AMCs first, then the dealers… https://t.co/jfCHpBPJxr"
beingAffy01,"@SP32436538 @RahulVerma4860 17 ff ,Data of paytm only till 3pm https://t.co/HmLp2cysRd"
ParthMi20318940,@Paytm Cannot order Fastag. No option to add RC photo. Want to order with paytm. Only this is the problem with payt… https://t.co/QqGKpS6YxZ
sipgrab,"#Contest 15/12/2019
Congratulations to all the winners who had given correct answer. Rs.500 has been credited to th… https://t.co/1bqKYN6E8d"
DharmaMovies,"Did someone say #GoodNewwz week has started?! Woohoo!💃
In cinemas this #Friday, book your tickets now -… https://t.co/k9pQFtPYhQ"
GauravAkshay16,@akshaykumar @diljitdosanjh @advani_kiara @karanjohar @apoorvamehta18 @ShashankKhaitan @raj_a_mehta @NotSoSnob… https://t.co/eWOF38UdVp
akshaykumar,"Jumping into the #GoodNewwz week be like!
#4DaysToGoodNewwz, book your tickets now.

https://t.co/lLgl70S9BE… https://t.co/zYGHkoj9LU"
prerna01597675,@Paytm #i ordered two fasttag on 27 Nov received only one today#nobody is there to hear your greviences#only an aut… https://t.co/XwFLStHMU2
PaytmTickets,"#Pune, make way for grand #NYE2020 celebrations!
Prepare for the most happening #NewYearsEve rooftop party in town… https://t.co/PZVeFB1awP"
Abhishe91163342,"@Paytm @Paytmcare 
You delivered blacklisted fastag. Tried reaching you on so called 24*7 customer care and also wr… https://t.co/X0kIfFDY4c"
PaytmTravelCare,"@vijaynikam001 Hi, We are happy to let you know that paytm has initiated a refund against your booking id 995347156… https://t.co/9eApcTDgST"
olamoney_in,"@Jkdhanuka @ola_supports Hi Jai, please specify in our DM @olamoney_in , the mode of payment through PayTM, so that… https://t.co/FfJXnwUNVd"
nitish_virmani,@Paytm @Paytmcare Ordered Fastag on 19 dec. Promised delivery date was 21 Dec. It has not even been dispatched yet!… https://t.co/8zMMVZXoAu
LitharaHome,"Christmas Giveaway! &lt;3 Choose the correct puzzle and get a chance to win exciting gifts, paytm cash and more!
Submi… https://t.co/4N8n2vCDjC"
rahulsrk_offl,"https://t.co/fmA4qgq0yn 

Pls click the link and install  HELLO app and login with your phone number to earn 60 rup… https://t.co/nqI8qb5KcD"
1sandeepgupt,@vijayshekhar @Paytm please look into it ASAP.
iamLADgovind,"I ordered a parcel from paytm on 19 December 2019, which was supposed to reach me by 23 December and I also gave th… https://t.co/cywoC8S8kP"
babbubajrangi,"@Paytmcare My father is using Paytm Fastag.
2 days back, INR 95 were deducted from his paytm account,while the toll… https://t.co/gQrcT2UjXx"
iamLADgovind,"I ordered a parcel from paytm on 19 December 2019, which was supposed to reach me by 23 December and I also gave th… https://t.co/7Ii73HMDRS"
paytmbankcare,"@DarpanBhatnaga3 Due to high volume of Fastag orders, we are experiencing brief delays with some shipments. We are… https://t.co/8luyO1uwY6"
paytmbankcare,"@raviraina4 Hi, we are unable to fetch details from the given information. Kindly share the Paytm order/ transactio… https://t.co/SycKYKeVdr"
amitkum68045053,"@Paytm
hi paytm team,
i have issue with fasttag and very poor customer care service.
i was ordered fasttag on 29Nov… https://t.co/2IIGsEVIV3"
1sandeepgupt,@Paytm : one transaction of 1000 rs  happen from my paytm account. I didn't do this transaction. Please look into it ASAP.
icareforlungs,Add a Cause with SANTA CLAUS. Join our initiative H.E.L.P. to support underprivileged patients with Lung diseases.… https://t.co/OTP76GJPzt
SaveUcs,"How to Get Cashback From G-PAY Cake Offer 2020, Best Refer and Earn PayTm Cash App! https://t.co/jF1HLemGJr https://t.co/rRvKx7Aa1N"
paytmbankcare,"@Satwind15031964 To check our authorized KYC points, please follow this link- https://t.co/xJzQStZqJP . Also, you c… https://t.co/sygQPIG6GN"
paytmbankcare,"@Satwind15031964 Hi Satwinder, as checked your Paytm account was KYC upgraded with Aadhaar OTP, however, its one-ye… https://t.co/VZck7SGykD"
paytmbankcare,"@vg1666 Hi, we are experiencing brief delays with some shipments. We are working hard to get your Fastag delivered… https://t.co/JKYIM58Xue"
vivekdalmias,@Paytm is there any way of chargeback claims from wllet payment
unnam_ajay,@Viswa50060854 @Raveend86130067 @tdptrending Vadu paytm dog bro ... he comments everywhere on TDP activities.
NikhilM22694930,@Paytmcare @Paytm @vijayshekhar @NHAISocialmedia need to start my travel again tomorrow and still no response Suffering because of Paytm
varunprasd,@Paytmcare @paytm are there any interest on paytm postpaid bill but i didn't find any in the FAQ but received the s… https://t.co/4qRnbJbUOw
imrishabh_kumar,#Paytm Founder and CEO Vijay Shekhar Sharma took to #Twitter to congratulate Microsoft's India-born CEO Satya Nadel… https://t.co/lFmPein5Cc
varunprasd,@paytm are there any interest on paytm postpaid bill but i didn't find any in the FAQ but received the sms now https://t.co/QtMK1JMIWD
Consumer2Court,PAYTM FASTAG is showing blacklisted. https://t.co/klI5vJlhRi
Imtrush,@Paytmcare can i paytm full KYC complete through pan card?
paytmbankcare,"@ashwin_wadhwani Hi, we regret the inconvenience caused to you. We are getting higher than usual call volume and it… https://t.co/fAHM2bvXQP"
SainiGautamGk,when I asked to show me the ride chart then after some time he showed me that it is 368 rupees and then I paid him… https://t.co/yJ2TTwa9D1
ema_mahesh,How to Apply For Paytm First Credit Cards? Paytm First Card Ke Liye Apply Kaise Kare? https://t.co/zDRtom7HwJ
paytmbankcare,@malikaakib17 Hi! Please share the RC copy image clearly reflecting the vehicle number and Barcode number screensho… https://t.co/4FEDG4NYya
ema_mahesh,How to Apply For Paytm First Credit Cards? Paytm First Card Ke Liye Apply Kaise Kare? https://t.co/7Y5WrHL1UD
divyansh_2010,@KolkataPolice Man from Kolkata siphoned off funds from my account posing as Paytm employee! i have his number and… https://t.co/1vFBZ4LdmI
ra9763080,@Paytmcare no any help me from customer care shame shame  paytm sa https://t.co/bZdC5URUef
ema_mahesh,How to Apply For Paytm First Credit Cards? Paytm First Card Ke Liye Apply Kaise Kare? https://t.co/zEp2sn9JYX
mohanapriyakshi,@BCCI @Paytm moments
manishgautam000,@vpnuniajat @Paytm @Paytmcare @PaytmBank @NHAISocialmedia @nitin_gadkari @paytmmallcare @PaytmMall Please put in cu… https://t.co/Cy3LW0Ne23
paytmbankcare,"@prodeeptoc Hi! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays with… https://t.co/YnryOtxJ2d"
Satwind15031964,#paytm #patmbank Your representative says my complete KYC is done but my order for fasttag is still on hold. No hel… https://t.co/rIoP3SmlNf
AntiSethi,@Zomato Refund of Rs 422 due since restaurant declined delivery on 15 Dec Zomato claims money refunded to @Paytm bu… https://t.co/3xQvrusV90
sachink197,"@Paytm 
A fraud transaction has been done and entire of my wallet amount has been stolen.

I request you to plz rev… https://t.co/OSTApn3fcp"
ANKURSI40336651,"@Paytmcare @Paytm Sir, I want to inform you that how to take details about my FASTAG'S amount. According to you Tag… https://t.co/d0EBb7Hfh7"
prithvidamera,"Why Paytm Coupon codes are not Trustworthy to buy?
https://t.co/49qkYV2rvy

@Paytm  @PaytmTravel @vijayshekhar… https://t.co/tHPSt8eHdh"
paytmbankcare,"@Anubhav1883 Hi Anubhav! Hope you are doing well. Due to the high volume of Fastag orders, we are experiencing brie… https://t.co/LBBvuJT5rH"
paytmbankcare,@tushar_ghole Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check th… https://t.co/8zAZdscje5
paytmbankcare,"@Vishwaj18331092 Hi Vishwajeet! As per your request, your Paytm account has been successfully activated. Please do… https://t.co/9laEuIioUp"
shikhark_7,I need to book another ticket if this ticket is not booked. And I don't think any more seats are left. Who's to bla… https://t.co/zM9IKZk4QX
anikate_gautam,A amount of Rs.130 was deducted wrongly from my paytm account for a #FASTag toll booth that i didnt visited. No sol… https://t.co/Zix3UudpvS
Paytmcare,"@KharaRavin Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. Moreo… https://t.co/dr6CJwIXAL"
MS_MohitSri,@Uber_Support need help to select Paytm as payment options for my future rides but it’s not allowing to do cab book… https://t.co/kcWLdkAqYx
Chukde_Spices,"Spice a dish with love and it pleases every palate.
The most popular masala brand in India. Products Available on A… https://t.co/To9WLY392B"
PrashanthEdwin,"@Paytmcare @Paytm another wow experience with your #support
#paytm #hdfc #amazon #icici https://t.co/kw8jfypYs6"
Chandra36417727,@BCCI @Paytm Let him. Play his natural game instead of fighting his place in the team.
Ranjeet48008882,@BCCI @Paytm The great men
divyansh_2010,@PaytmCybercell I was defrauded through Paytm imposters but still no recourse or reply from Paytm
RajLovesJesus,"@Paytmcare @Paytm where is the bug??
Today's date is 23rd December and offer valid till 23rd Nov #waah https://t.co/p2bK2MVExi"
drnka123,"@paytmbankcare I contact through paytm app many times, but still same reply we are working on it."
Chandra36417727,@BCCI @Paytm Finally the Next Sehawag K L Rahul got the opportunity with both hands. It's a blessing I disgue with… https://t.co/u1JprdkZob
deepesh_roy,@Paytmcare Dear @Paytmcare after i posted this I'm getting several fraud calls stating that they are paytm team fro… https://t.co/EGjCVaVDYf
AnkitArora136,"My Paytm wallet balance was deducted today at 2.40 pm without OTP. Also, I did not initiate any transaction on my e… https://t.co/Q0vj1FEzfI"
Samkanz,we are celebrating Christmas for poor people and abandoned senior citizens at our gurukul. We need some funds for t… https://t.co/TgguCuZG2h
ramani_sharad,@JioCare This machine box the put by taking 2500 rs cash payment as we didn't had Paytm . N on 21st sept this setup… https://t.co/hrrPB6F043
divyansh_2010,@PaytmBank @PaytmCybercell @Paytm I was defrauded the same way. Can you please suggest recourse? How will I get my money back?
Paytmcare,"@kapurv02 Hi, Paytm has no relation whatsoever with such links/messages and/or offers. We would suggest you to not… https://t.co/73caoTjFBD"
jangiravi,Don't buy fastag through paytm  @Paytmcare @Paytm @NHAISocialmedia https://t.co/Q9VEaXn9h3
KharaRavin,"@Paytm pathetic customer care, fraudulent activity in the name of KYC and then appalling behaviour for customer's g… https://t.co/K7Nd8JfSMr"
sachin_115,@Paytm @paytmbankcare @Paytmcare Do you have ears to listen to the queries of your customers. Rs 150 credit on acti… https://t.co/trT5g2bthn
Cricketgeek6,"Make the most of your free time, play knowledgeable quizzes, games, Make predictions and a special section for Cric… https://t.co/dX0uglnGdi"
Paytmcare,"@Vishalvashisth7 Hi Vishal, kindly share your Paytm registered mobile number via Direct Message to assist you bette… https://t.co/rlceYi6Xli"
Manjeet64800,@Paytmcare Please take necessary action this number and save another paytm users.
divyansh_2010,@Paytm @Paytmcare Refer to Query no. 150636530. I had filed a complaint for fraud. Haven't received any call back w… https://t.co/puY0SwZfHL
nishit2k21,"@airtelindia I will download definitely but  accept recharge request through third party like Amazon, phone pe,Payt… https://t.co/LZuxeDjgFO"
paytmbankcare,@CPSoni0683 Hi! Please share the RC copy image clearly reflecting the vehicle number and Barcode number screenshot… https://t.co/xfznkwK25o
BikashP59171431,@BCCI @Paytm Champion
DilkushJaiBhara,"CHAMPIONS 👑👑

#INDvWI #TeamIndia @paytm https://t.co/nXlF4UvnSn"
BoseSugato,@GaonConnection @vijayshekhar It's all fine talking about the big picture.See how Paytm behaves with their customer… https://t.co/fgojl1I97G
shikhark_7,"@Paytm @Paytmcare I booked a flight ticket at 1:37pm today,the money got deducted and till then the booking confirm… https://t.co/WsT0hg6Fyl"
SUMEETASHTEKAR,@Paytmcare  Paytm not able to book my flight ticket. Booked at 1:50pm today. Calld your team for status spoke 3:40-… https://t.co/eshDKN3swf
Snparmar_Batsan,"@paytmbankcare @Paytm Worst customer service ever! Can't get thorough your fastag customer service call center, cal… https://t.co/4bgKwiG4rd"
BoseSugato,@nytimes @vijayshekhar It's all fine talking about Amazon.See how Paytm behaves with their customers.Despite multip… https://t.co/9ocIArXI1Q
divyansh_2010,"@TeamViewer I had filed a report for a fraud that happened with me. Someone, imposing as @Paytm made my mom downloa… https://t.co/2isT9qhY5G"
Paytmcare,"@ashokumar100 Hi, Paytm has no relation whatsoever with such links/messages and/or offers. We would suggest you to… https://t.co/zb9KDY0pls"
disale_j,@BCCI @Paytm Great  play
swadeshLokmat,UPDATE: The All-India Women’s Selection Committee has picked the teams for the Paytm Senior Women’s T20 Challenger Trophy.
paytmbankcare,"@Adarsh1005 Hi Adarsh! Thank you for contacting Paytm Fastag Support Team. We regret to inform you that, as per our… https://t.co/48etPgUSLz"
PameliaBadger,"How to get free Google pay gift card and free dimonds in free fire, without paytm, payment proof… https://t.co/UPnpCr9sIK"
BCCIWomen,📢UPDATE: The All-India Women’s Selection Committee has picked the teams for the Paytm Senior Women’s T20 Challenger Trophy.
SUMEETASHTEKAR,@Paytm useless app for flight booking. Not able to get the support and even right reason from paytm support.Booked… https://t.co/fXsT2UVPIQ
ongole27,"Booking for #IddariLokamOkate at #సత్యంథియేటర్ in ONGOLE.

Opened in - Paytm -
#ILOFromDec25th https://t.co/YL9pGf1zr9"
rgmanu,@PiyushPAnnadate @Paytm Please do not buy this to loose 500 RS like me
sattwikswarup,"@Paytm  i had booked fastag from paytm app with mobile number 9415364541 and have received it at home,but i have no… https://t.co/JrJ4bLg55O"
paytmbankcare,@dibyendudhara Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check t… https://t.co/oLyK54KdtB
sattwikswarup,@Paytmcare i have received fastag from paytm mall for online purchase from paytm app with mobile number 9415364541… https://t.co/yjNHBniBGj
abhishektuppada,#Paytm if you cannot support please do not sell Fastags which do not work. @Paytmcare @vijayshekhar
Paytmcare,"@Raja_Kutlehar Hi Rupendra, this is not official communication from Paytm. Please be aware of such fake callers/mes… https://t.co/ou4q7NLgiT"
RohanDu86223100,"@coolfunnytshirt @Yogeshpalange https://t.co/lst0QlEGTv
I am from jharkhand plz help me
UPI- 8409564104@PAYTM
PAYTM- 8409564104"
DalChan82809295,#paytm Hi guys if you are planing buy a FastTag from PayTm please don't buy. Please stop to using paytm app. Paytm… https://t.co/kt8zioUd2x
Raja_Kutlehar,@Paytmcare @Paytm what’s going on here? https://t.co/B0amoUlTOI
manish2k8,"@paytmbankcare thanks for this, but i have already checked at the manage fast tag section and it shows no data. hav… https://t.co/jZWvkvjB0y"
abhishektuppada,#Paytm Myfastag has not ben working and though i have sufficient funds in wallet at scan/tool it throws up blacklis… https://t.co/bRe7oEP85a
LohiyaRishiraj,"@AmitShah @vijayshekhar 79560 INR fraud from paytm account please help, you r my last hope https://t.co/Bk5BK8Ak5u"
IamVicky264,"Check our new YouTube Video
And also like and Subscribe

A new paytm  earning app
Every minute 28 rupees 🤑🤑

Video… https://t.co/V6aruuLUHb"
paytmbankcare,@Naveenmalikedd Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check… https://t.co/GWGdohD9n7
DeepankarSpy,"@Paytmcare I ordered Paytm Fastag from Paytm app but it didn't asked me to upload the RC of my vehicle.
When i am c… https://t.co/Q3ko9ywavH"
paytmbankcare,@manish2k8 Hi! We understand you have a concern regarding checking your barcode and vehicle details. To check the s… https://t.co/UCfMJ3Z9SR
paytmbankcare,"@JRokadiya Hi, we are unable to fetch details from the given information. Kindly share the Paytm order/ transaction… https://t.co/RgjOMBI4RX"
booktheprofit,"#BooktheProfit #Nifty #Sensex #StockMarket 

We deal in UNLISTED SECURITIES (like paytm, Ola, etc.)

For more detai… https://t.co/ChETLnDYNx"
impushkerpandey,@itsuryakant @DCP_CCC_Delhi paytm doing fraud. So uninstall paytm app and account.
dibyendudhara,"Dear @Paytm @Paytmcare , my #FASTag was delivered on 19th Dec but till now its not activated. I also called ur cust… https://t.co/V40bqtGLYt"
Vishalvashisth7,"@PaytmBank @paytmbankcare @Paytm @Paytmcare I need help for my amount stuck in paytm postpaid.
Your customer care t… https://t.co/jN8xrRWAWr"
investnestin,"SUBSCRIBE TO INVESTNEST 
for Rs.499/month for Intraday and Investment Calls. 

Pay via PayTM :… https://t.co/rr4xozN5Lm"
Paytmcare,"@itsuryakant Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages. More… https://t.co/5ObmfZD84i"
PeelaSOMESWARA1,@paisawapas I don't get PAYTM 800rs cashback for timesprime subscription.please give cashback immediately https://t.co/JD6aKgwGcH
24goglePaul,"check this out, Get ₹10 Free PayTM Cash Instantly From Avail App | Refer Earn ₹25 https://t.co/F7jcj3bdFB"
Akshayk2525,@Paytmcare pathetic customer care service by paytm.. No solution to my issue in last five days.. मत करो paytm
PeelaSOMESWARA1,@paisawapas I don't get 800rs paytm cashback for TIMESPRIME SUBSCRIPTION . https://t.co/X6usWHdqIa
paytmbankcare,"@snandininl Hi Sanjay! We understand you are facing issue in using your Fastag at toll plaza. As we can check, your… https://t.co/955uPQX5x4"
itsuryakant,"@DCP_CCC_Delhi Hello Team, getting fraudulent call for PAYTM kyc submission from mobile no - 9641499605. They askin… https://t.co/IXKLeAycy3"
officialraman94,My fasttag got delivered today &amp; its only a fasttag. Not linked to my vechile with a form to fill in my vechile det… https://t.co/JnZh80ADIz
rupeshmalpani,"LOGO'S are meant to be Logic Oriented Graphic Output.
It today is Information Oriented Graphic Output IOGO'S
It cha… https://t.co/vcPGxlJgnf"
patelparth2525,"More than one month past from purchased of  fastag ,but my paytm fastag not activated yet. I tried to contact paytm… https://t.co/Ec5K7jhuLg"
SomilModi,@paytmbankcare @Paytmcare @vijayshekhar Are you able to find the issue and DEACTIVATE the fastag associated with ve… https://t.co/FIBXlwvZ9z
paytmbankcare,"@RahulDSharma Hi Rahul,

We would like to inform you that you can add money in your wallet through UPI only by thos… https://t.co/PlGdnAI6R1"
PeelaSOMESWARA1,@paisawapas  I don't get PAYTM 800rs cashback for timesprime subscription https://t.co/4wM1fx7ZJI
AncientStock,"💯 New Year Premium Membership Started
♻️ Never Ever Offer for Xmas ☯️ and New Year 🔵
💸 We Accept Netbanking/UPI/Pay… https://t.co/pmRINdHZ8M"
RohitKhullar8,I have ordered PayTm fasttag from @Paytmcare @Paytm on 3rd Dec. Initially @shadowfax_in told they have incorrect de… https://t.co/BIb4OgGcFN
SHANTANU048,"@Paytmcare As its already 5 days I called Paytm customer support Yesterday, a senior executive promised me within 2… https://t.co/0SlsHfr3sf"
SHANTANU048,"@paytmbankcare As its already 5 days I called Paytm customer support Yesterday, a senior executive promised me with… https://t.co/MCG9pMkGKo"
DhoniBhakt_,"@Paytm @vijayshekhar 
Are you guys really listening or ignorance is bliss no response for my case"
paytmbankcare,"@ParmindrSingh Hi! Hope you are doing well. Due to high volume of Fastag orders, we are experiencing brief delays w… https://t.co/3lMmWDyeMM"
ShreenathAlok,"Hey, @KotakBankLtd why do u not consider Paytm payments bank salary account ? RBI have issue license in 2015. Even… https://t.co/fSbxvScIQ0"
WeGet_SunnY,@Paytm @vijayshekhar received this mesg on my wife mobile number- (104520 is SECRET OTP for txn of INR 200.00 on Ax… https://t.co/t2uUcdoSFO
Mayank32599331,"@Paytm @vijayshekhar 
Today I have received a phone from mobile at 11 am for offering loan and when I disconnected… https://t.co/Rqf9DyVbZy"
DuniyaSmart,"Group D related updates,misunderstanding of group D candidates Wbgdrb latest update smartduniya

11 Wickets… https://t.co/b5hdBj81Yn"
PeelaSOMESWARA1,@paisawapas  I don't get PAYTM 800rs cashback for timesprime subscription .
Knaru72Narendra,@Paytm Hey #Paytm This Chip is not working in  My #Card What should I do now!!!! 🤔😡 https://t.co/WCZk3H1Tnl
CreationsVlp,"Hi i am a new streamer in youtube plz like &amp; subscribe to my channel VLP CREATIONS 
Plz support me guys  subscribe… https://t.co/Md5h8lvuL1"
Paytmcare,"@PhanikumarGadde Hi, this is not official communication from Paytm. Please be aware of such fake callers/messages.… https://t.co/vzU1JG2O6b"
ManItsArun,@Paytm @Paytmcare @Paytm @Paytmcare  Is someone gonna reply?
